#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
81000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:05
82000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:05
83000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:04
84000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:04
85000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:04
86000,0.0,132156.452203998,132156.452203998,441.52132612961947,7999.999999999996,1.93e+03,0:03
87000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:03
88000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:03
89000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:03
90000,0.0,132156.45220399793,132156.45220399793,441.5213261296193,7999.999999999996,1.93e+03,0:02
91000,0.0,132156.45220399793,132156.45220399793,441.5213261296193,7999.999999999996,1.93e+03,0:02
92000,0.0,132156.45220399793,132156.45220399793,441.5213261296193,7999.999999999996,1.93e+03,0:02
93000,0.0,132156.45220399793,132156.45220399793,441.5213261296193,7999.999999999996,1.93e+03,0:01
94000,0.0,132156.45220399793,132156.45220399793,441.5213261296193,7999.999999999996,1.93e+03,0:01
95000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:01
96000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:01
97000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:00
98000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:00
99000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:00
100000,0.0,132156.45220399796,132156.45220399796,441.5213261296194,7999.999999999996,1.93e+03,0:00
